year,energy_type,power_consumption
1974,Traditional bimass,9663
1974,Other renewables,94
1974,Biofuels,0
1974,Solar,0
1974,Coal,17682
1974,Gas,11656
1975,Wind,0
1975,Oil,31948
1975,Nuclear,1027
1975,Hydropower,4025
1975,Traditional bimass,9718
1975,Other renewables,96
1975,Biofuels,0
1975,Solar,0
1975,Coal,18025
1975,Gas,11661
1976,Wind,0
1976,Oil,34030
1976,Nuclear,1202
1976,Hydropower,4009
1976,Traditional bimass,9774
1976,Other renewables,107
1976,Biofuels,0
1976,Solar,0
1976,Coal,18688
1976,Gas,12356
1977,Wind,0
1977,Oil,35215
1977,Nuclear,1496
1977,Hydropower,4144
1977,Traditional bimass,9830
1977,Other renewables,113
1977,Biofuels,0
1977,Solar,0
1977,Coal,19241
1977,Gas,12761
1978,Wind,0
1978,Oil,36426
1978,Nuclear,1738
1978,Hydropower,4484
1978,Traditional bimass,9886
1978,Other renewables,119
1978,Biofuels,0
1978,Solar,0
1978,Coal,19458
1978,Gas,13294
1979,Wind,0
1979,Oil,37024
1979,Nuclear,1808
1979,Hydropower,4709
1979,Traditional bimass,9943
1979,Other renewables,128
1979,Biofuels,0
1979,Solar,0
1979,Coal,20364
1979,Gas,14119
1980,Wind,0
1980,Oil,35577
1980,Nuclear,1978
1980,Hydropower,4810
1980,Traditional bimass,10000
1980,Other renewables,137
1980,Biofuels,0
1980,Solar,0
1980,Coal,20858
1980,Gas,14239
1981,Wind,0
1981,Oil,34296
1981,Nuclear,2335
1981,Hydropower,4914
1981,Traditional bimass,10106
1981,Other renewables,148
1981,Biofuels,0
1981,Solar,0
1981,Coal,21150
1981,Gas,14394
1982,Wind,0
1982,Oil,33198
1982,Nuclear,2534
1982,Hydropower,5003
1982,Traditional bimass,10213
1982,Other renewables,170
1982,Biofuels,0
1982,Solar,0
1982,Coal,21384
1982,Gas,14469
1983,Wind,0
1983,Oil,32969
1983,Nuclear,2872
1983,Hydropower,5216
1983,Traditional bimass,10321
1983,Other renewables,189
1983,Biofuels,0
1983,Solar,0
1983,Coal,22045
1983,Gas,14703
1984,Wind,0
1984,Oil,33739
1984,Nuclear,3485
1984,Hydropower,5393
1984,Traditional bimass,10430
1984,Other renewables,211
1984,Biofuels,0
1984,Solar,0
1984,Coal,23000
1984,Gas,15903
1985,Wind,0
1985,Oil,33789
1985,Nuclear,4136
1985,Hydropower,5499
1985,Traditional bimass,10541
1985,Other renewables,216
1985,Biofuels,0
1985,Solar,0
1985,Coal,23986
1985,Gas,16261
1986,Wind,0
1986,Oil,34803
1986,Nuclear,4430
1986,Hydropower,5574
1986,Traditional bimass,10653
1986,Other renewables,238
1986,Biofuels,0
1986,Solar,0
1986,Coal,24256
1986,Gas,16419
1987,Wind,1
1987,Oil,35499
1987,Nuclear,4819
1987,Hydropower,5649
1987,Traditional bimass,10765
1987,Other renewables,255
1987,Biofuels,0
1987,Solar,0
1987,Coal,25210
1987,Gas,17281
1988,Wind,1
1988,Oil,36703
1988,Nuclear,5253
1988,Hydropower,5830
1988,Traditional bimass,10879
1988,Other renewables,262
1988,Biofuels,0
1988,Solar,0
1988,Coal,25965
1988,Gas,18089
1989,Wind,7
1989,Oil,37300
1989,Nuclear,5403
1989,Hydropower,5799
1989,Traditional bimass,10995
1989,Other renewables,290
1989,Biofuels,0
1989,Solar,1
1989,Coal,26213
1989,Gas,18869
1990,Wind,10
1990,Oil,37691
1990,Nuclear,5557
1990,Hydropower,5997
1990,Traditional bimass,11111
1990,Other renewables,325
1990,Biofuels,91
1990,Solar,1
1990,Coal,25895
1990,Gas,19483
1991,Wind,11
1991,Oil,37691
1991,Nuclear,5823
1991,Hydropower,6137
1991,Traditional bimass,11243
1991,Other renewables,339
1991,Biofuels,102
1991,Solar,1
1991,Coal,25643
1991,Gas,19975
1992,Wind,13
1992,Oil,38344
1992,Nuclear,5867
1992,Hydropower,6136
1992,Traditional bimass,11376
1992,Other renewables,364
1992,Biofuels,98
1992,Solar,1
1992,Coal,25550
